,doc,word,freq
0,0,128,2
1,0,129,2
2,0,130,2
3,0,131,1
4,0,5,1
5,0,134,2
6,0,7,2
7,0,137,1
8,0,139,1
9,0,140,1
10,0,141,1
11,0,14,1
12,0,16,2
13,0,18,2
14,0,19,3
15,0,20,1
16,0,23,1
17,0,26,6
18,0,28,3
19,0,31,2
20,0,32,7
21,0,36,1
22,0,37,1
23,0,38,1
24,0,42,5
25,0,44,1
26,0,45,4
27,0,46,2
28,0,47,3
29,0,49,1
30,0,52,5
31,0,53,1
32,0,9,1
33,0,57,1
34,0,6,1
35,0,59,2
36,0,60,1
37,0,61,1
38,0,66,3
39,0,67,1
40,0,68,1
41,0,69,1
42,0,70,6
43,0,72,2
44,0,75,1
45,0,76,1
46,0,78,1
47,0,79,5
48,0,81,2
49,0,82,1
50,0,83,2
51,0,84,2
52,0,85,2
53,0,55,1
54,0,89,2
55,0,90,1
56,0,91,1
57,0,92,1
58,0,93,1
59,0,94,4
60,0,95,2
61,0,96,3
62,0,98,14
63,0,99,1
64,0,100,2
65,0,101,5
66,0,103,7
67,0,104,4
68,0,105,3
69,0,106,1
70,0,107,1
71,0,108,5
72,0,109,2
73,0,111,2
74,0,114,2
75,0,115,7
76,0,119,3
77,0,121,1
78,0,127,1
79,1,128,3
80,1,130,1
81,1,3,1
82,1,132,2
83,1,6,1
84,1,135,1
85,1,136,3
86,1,137,5
87,1,10,3
88,1,11,7
89,1,13,3
90,1,142,3
91,1,144,2
92,1,18,1
93,1,19,5
94,1,20,1
95,1,22,2
96,1,23,1
97,1,24,1
98,1,26,3
99,1,28,5
100,1,31,1
101,1,32,1
102,1,34,3
103,1,36,2
104,1,37,1
105,1,42,6
106,1,43,1
107,1,44,4
108,1,45,4
109,1,47,2
110,1,52,5
111,1,53,1
112,1,9,4
113,1,57,1
114,1,61,1
115,1,63,1
116,1,66,1
117,1,67,9
118,1,69,4
119,1,70,3
120,1,73,3
121,1,74,3
122,1,83,1
123,1,76,1
124,1,77,3
125,1,79,1
126,1,141,1
127,1,82,2
128,1,14,1
129,1,84,1
130,1,85,2
131,1,86,1
132,1,87,1
133,1,89,3
134,1,90,6
135,1,91,2
136,1,92,1
137,1,93,1
138,1,94,3
139,1,98,3
140,1,99,1
141,1,100,1
142,1,103,5
143,1,107,1
144,1,108,9
